         usid   latitude   longitude                 cell  earfcndl
144     25791  33.930139 -117.894167        CLL03049_7B_1      5780
145     12157  33.831551 -117.992377        CLL03259_7A_1      5780
146     12157  33.831551 -117.992377        CLL03259_7A_1      5780
147     48038  34.206639 -118.655833        CLL01744_7A_1      5780
148     85555  34.100667 -118.218694        CLL05853_7B_1      5780
149     85555  34.100667 -118.218694        CLL05853_7B_1      5780
150     13778  34.189500 -119.144306        CSL01520_7C_1      5780
151     25717  34.106167 -117.845811        CLL04295_7C_1      5780
152     11902  34.055383 -118.398348        CLL05658_7A_1      5780
153     11964  34.007380 -118.489686        CLL02253_7A_1      5780
154     87691  33.742972 -118.191694        CLL02745_7A_1      5780
155     12142  33.855972 -118.115472        CLL02694_7A_1      5780
156     12142  33.855972 -118.115472        CLL02694_7A_1      5780
157     12379  34.093342 -117.601442        CSL04402_7B_1      5780
158     87358  32.887040 -117.170030        CAL01633_7C_1      5780
159     44429  33.674228 -117.644325        CLL03703_7A_1      5780
160     25720  34.108028 -117.721056        CLL04306_7A_1      5780
161     12310  33.934418 -117.561854        CSL04462_7B_1      5780
162     11815  34.159493 -118.500627        CLL05293_2B_1      1975
163     47991  33.883700 -118.121726        CLL02652_7C_1      5780
164     47991  33.883700 -118.121726        CLL02652_7C_1      5780
165     11817  34.154678 -118.339729        CLL05068_2A_1      1975
166     11817  34.154678 -118.339729        CLL05068_2A_1      1975
167      9547  35.384414 -119.045914        CSL01093_7A_1      5780
168     12317  33.980028 -117.840611        CLL03053_7C_1      5780
169     12317  33.980028 -117.840611        CLL03053_7C_1      5780
170     73248  32.783143 -117.236632        CAL02069_7A_1      5780
171     12007  33.931365 -118.300734        CLL02629_7B_1      5780
172     12007  33.931365 -118.300734        CLL02629_7B_1      5780
173     43216  34.253778 -118.810167        CSL01706_7B_1      5780
174     48198  33.978167 -117.502972        CSL04466_7C_1      5780
175     26385  34.150611 -118.030625        CLL04202_7C_1      5780
176    100913  34.186317 -118.503603        CLL01985_2A_1      1975
177     12331  33.998722 -117.886611        CLL04264_7A_1      5780
178     48102  33.688750 -117.723722        CLL03682_7A_1      5780
179     11979  33.778083 -118.256889        CLL02859_7A_1      5780
180     85530  34.142889 -117.317111        CSL04108_7C_1      5780
181     25755  33.785220 -117.976220        CLL03256_7A_1      5780
182     12416  33.960028 -117.308417        CSL04673_7A_1      5780
183     36319  34.016139 -117.848333        CLL04276_7B_1      5780
184     36319  34.016139 -117.848333        CLL04276_7B_1      5780
185     47989  33.894065 -118.265072        CLL02635_7C_1      5780
186     47989  33.894065 -118.265072        CLL02635_7C_1      5780
187    104069  33.964333 -117.852361        CLL03051_7C_1      5780
188     44516  32.975588 -117.167901        CAL00599_7C_1      5780
189    102266  33.792417 -118.190167        CLL02705_7C_1      5780
190     11818  34.240079 -118.413354        CLL05225_2C_1      1975
191     11818  34.240079 -118.413354        CLL05225_2C_1      1975
192     13965  32.747864 -117.208287        CAL00359_7B_1      5780
193     51175  34.157000 -118.082000        CLL05817_7B_1      5780
194     48264  34.181417 -118.822000        CSL01692_7B_1      5780
195     12164  34.039944 -118.082833        CLL05906_7C_1      5780
196     12433  33.652056 -117.907194        CLL03485_7A_1      5780
197     12158  34.159861 -118.095528        CLL05816_2B_1      1975
198     12434  33.696944 -117.860694        CLL03447_7B_1      5780
199     28047  34.180056 -118.775528        CSL01698_7C_1      5780
200     47299  33.915417 -118.038222        CLL03038_7B_1      5780
201     12513  34.357056 -119.058028        CSL01495_7C_1      5780
202     47264  34.091833 -117.960083        CLL04245_7A_1      5780
203     36016  33.919583 -117.847972        CLL03074_7C_1      5780
204     11856  34.187407 -118.641352        CLL01746_7A_1      5780
205    100913  34.186317 -118.503603        CLL01985_7B_1      5780
206     26531  34.006472 -117.680694        CSL04336_7B_1      5780
207     48134  34.279306 -118.760389        CSL01716_7B_1      5780
208     83844  34.229028 -118.501028        CLL05230_7A_1      5780
209     83844  34.229028 -118.501028        CLL05230_7A_1      5780
210     12111  33.902685 -118.084223        CLL03113_7A_1      5780
211      9535  35.306306 -118.919806        CSL01106_7A_1      5780
212     87833  32.750412 -117.172597        CAL02060_7A_1      5780
213     12169  33.975611 -118.127583        CLL02516_7B_1      5780
214     84270  33.983528 -117.330833        CSL04750_7B_1      5780
215     80082  33.905076 -118.342557        CLL02619_2B_1      1975
216     88463  33.846167 -118.097194        CLL03270_7B_1      5780
217     12075  33.929789 -118.431633        CLL02325_7B_1      5780
218     12075  33.929789 -118.431633        CLL02325_7B_1      5780
219     48773  33.879639 -118.151639        CLL02684_7B_1      5780
220     26341  34.145944 -118.779389        CLL01690_7C_1      5780
221     25666  33.855139 -118.234333        CLL02671_7C_1      5780
222     12309  34.071833 -117.812889        CLL04288_7A_1      5780
223     97744  33.900833 -117.383472        CSL04508_7B_1      5780
224     12083  33.923167 -118.061444        CLL03035_2B_1      1975
225     87773  34.137222 -118.010111        CLL04209_7A_1      5780
226     43720  33.079727 -117.200845        CAL00646_7C_1      5780
227     12401  34.111111 -117.297889        CSL04110_7A_1      5780
228     12506  34.453778 -119.149722        CSL01498_7C_1      5780
229     12153  33.912333 -118.164750        CLL02650_2B_1      1975
230     47975  33.962361 -118.142111        CLL02518_7A_1      5780
231     43990  34.255806 -119.080639        CSL01529_7B_1      5780
232     80635  34.038667 -117.190917        CSL04622_7B_1      5780
233     82909  32.880561 -117.209512        CAL02077_7A_1      5780
234     13953  33.189144 -117.302484        CAL00434_7B_1      5780
235     25754  33.613217 -117.629689        CLL03809_7B_1      5780
236     12464  33.631639 -117.838417        CLL03482_7C_1      5780
237     12010  33.804064 -118.290118        CLL02830_7B_1      5780
238     25789  33.776889 -117.945833        CLL03255_7A_1      5780
